Date,Trades,Wins,Losses,Gross_PnL,Total_Costs,Net_PnL,Winrate,Portfolio Value
2024-11-01,4.0,1.0,3.0,-3044.68,1639.85,-4684.54,0.25,495315.46251071704
2024-11-04,13.0,9.0,4.0,5208.05,5278.64,-70.62000000000086,0.6923,495244.83967520343
2024-11-05,8.0,6.0,2.0,18256.53,3115.4,15141.119999999999,0.75,510385.96131621336
2024-11-06,3.0,3.0,0.0,12084.52,1206.3,10878.21,1.0,521264.17523979
2024-11-07,4.0,1.0,3.0,-6175.0599999999995,1695.8899999999999,-7870.96,0.25,513393.2193953447
2024-11-08,2.0,1.0,1.0,-1595.27,923.98,-2519.25,0.5,510873.9730609422
2024-11-11,3.0,1.0,2.0,-8922.67,1273.55,-10196.22,0.3333,500677.74434814946
2024-11-12,,,,,,,,500677.74434814946
2024-11-13,2.0,2.0,0.0,1469.45,834.79,634.66,1.0,501312.409297645
2024-11-14,4.0,3.0,1.0,9447.84,1611.8899999999999,7835.950000000001,0.75,509148.3569262884
2024-11-15,5.0,4.0,1.0,8822.64,2093.84,6728.8,0.8,515877.16121129855
2024-11-18,4.0,2.0,2.0,1254.42,1776.54,-522.1399999999999,0.5,515355.02432642976
2024-11-19,4.0,1.0,3.0,-6691.39,1670.6,-8361.99,0.25,506993.0430615884
2024-11-20,4.0,2.0,2.0,6677.969999999999,1656.9,5021.049999999999,0.5,512014.1014592541
2024-11-21,2.0,1.0,1.0,1248.73,818.54,430.19000000000005,0.5,512444.2939309767
2024-11-22,2.0,2.0,0.0,9382.79,824.1800000000001,8558.61,1.0,521002.90488537186
2024-11-25,3.0,0.0,3.0,-10763.810000000001,1282.3400000000001,-12046.16,0.0,508956.7536143193
2024-11-26,1.0,0.0,1.0,-5080.15,414.06,-5494.21,0.0,503462.5442435615
2024-11-27,1.0,0.0,1.0,-170.92,407.02,-577.95,0.0,502884.598649164
2024-11-28,3.0,0.0,3.0,-8989.57,1181.13,-10170.7,0.0,492713.8979937052
2024-11-29,5.0,3.0,2.0,3364.71,2043.55,1321.16,0.6,494035.0568854112
2024-12-02,7.0,4.0,3.0,-4295.74,2740.7200000000003,-7036.449999999999,0.5714,486998.6080352301
2024-12-03,1.0,0.0,1.0,-4862.15,405.65,-5267.8,0.0,481730.80855972425
2024-12-04,6.0,2.0,4.0,-3399.9199999999996,2450.99,-5850.92,0.3333,475879.890087308
2024-12-05,3.0,1.0,2.0,-4350.42,1138.29,-5488.7,0.3333,470391.1855901748
2024-12-06,2.0,2.0,0.0,2714.43,790.5,1923.92,1.0,472315.1140567829
2024-12-09,4.0,3.0,1.0,7656.0,1619.01,6037.0,0.75,478352.10386406205
2024-12-10,1.0,0.0,1.0,-4783.25,371.91,-5155.16,0.0,473196.94411401654
2024-12-11,1.0,0.0,1.0,-4715.97,391.75,-5107.72,0.0,468089.224786464
2024-12-12,2.0,2.0,0.0,9136.46,753.68,8382.77,1.0,476471.9997491219
